gay2016,gay2020,imm2016,imm2020,temp2016,temp2020,abort2016,abort2020
union,union,stay,stay,less,right,choice,need
marry,marry,stay,restrict,more,more,choice,exceptions
marry,union,stay,stay,more,more,choice,choice
marry,marry,stay,citizen,right,more,exceptions,choice
union,marry,stay,stay,less,more,exceptions,exceptions
no,no,restrict,deport,right,right,choice,choice
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,stay,more,more,choice,choice
marry,marry,deport,deport,right,right,exceptions,exceptions
union,no,stay,restrict,less,more,never,exceptions
marry,union,stay,stay,,less,choice,exceptions
union,union,restrict,restrict,less,less,need,never
no,no,stay,deport,more,right,never,never
no,no,deport,stay,right,right,exceptions,exceptions
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,stay,right,right,need,need
marry,marry,stay,stay,less,right,exceptions,need
marry,marry,stay,stay,right,right,choice,choice
marry,marry,stay,citizen,,more,choice,choice
marry,marry,citizen,citizen,more,more,choice,choice
marry,marry,deport,deport,less,right,choice,need
marry,marry,stay,stay,right,more,choice,choice
marry,marry,deport,stay,right,right,exceptions,need
marry,marry,restrict,restrict,more,more,choice,choice
no,no,stay,citizen,more,,never,never
union,marry,restrict,stay,less,right,never,choice
marry,marry,deport,deport,more,right,choice,choice
union,marry,restrict,stay,,right,exceptions,exceptions
marry,marry,stay,stay,right,more,choice,choice
union,marry,stay,stay,right,right,need,need
marry,marry,stay,stay,more,more,exceptions,need
marry,no,deport,restrict,more,more,,
marry,marry,deport,stay,right,right,need,exceptions
marry,marry,stay,stay,right,more,choice,choice
marry,marry,restrict,stay,right,right,choice,choice
marry,marry,stay,citizen,less,less,choice,choice
union,union,stay,stay,right,more,need,exceptions
marry,marry,stay,stay,more,more,choice,choice
union,union,stay,stay,right,more,never,
marry,marry,citizen,citizen,right,more,exceptions,choice
no,union,deport,deport,right,less,never,never
marry,marry,citizen,citizen,more,more,choice,choice
marry,marry,stay,deport,more,right,exceptions,need
union,marry,deport,deport,more,more,choice,choice
marry,marry,stay,citizen,right,right,choice,choice
marry,marry,restrict,deport,more,more,choice,choice
union,no,stay,stay,right,more,exceptions,exceptions
marry,marry,deport,stay,more,more,choice,choice
union,marry,deport,deport,less,less,exceptions,exceptions
marry,union,stay,stay,more,more,choice,choice
marry,marry,stay,stay,right,right,exceptions,exceptions
marry,,restrict,restrict,right,right,exceptions,exceptions
union,marry,stay,stay,more,less,need,choice
union,union,deport,stay,less,right,exceptions,exceptions
marry,marry,stay,stay,more,more,choice,choice
union,union,deport,deport,right,less,choice,choice
union,union,stay,stay,less,less,need,exceptions
marry,marry,stay,citizen,more,more,choice,choice
marry,marry,stay,stay,right,more,exceptions,need
marry,marry,stay,stay,right,right,choice,exceptions
marry,marry,stay,stay,right,less,never,exceptions
union,union,stay,stay,right,more,exceptions,exceptions
marry,marry,stay,restrict,more,more,need,
marry,union,stay,stay,more,less,never,never
union,no,restrict,stay,less,less,exceptions,exceptions
union,marry,restrict,deport,less,right,exceptions,
union,no,restrict,deport,less,less,never,never
no,no,stay,restrict,less,less,exceptions,exceptions
marry,marry,stay,restrict,more,more,exceptions,exceptions
marry,marry,stay,stay,more,more,need,choice
union,union,stay,stay,right,less,need,exceptions
no,no,restrict,deport,more,right,exceptions,never
marry,marry,stay,stay,less,more,exceptions,need
marry,marry,restrict,stay,more,more,need,choice
marry,marry,stay,restrict,right,more,choice,choice
no,no,restrict,deport,less,right,never,never
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,citizen,more,more,need,
,union,stay,stay,less,less,choice,need
union,union,restrict,restrict,less,right,exceptions,exceptions
union,no,deport,deport,less,less,choice,choice
union,marry,deport,stay,right,more,exceptions,exceptions
union,marry,stay,restrict,more,right,choice,exceptions
marry,no,stay,stay,right,more,never,never
marry,marry,restrict,citizen,more,more,exceptions,choice
union,marry,stay,stay,,more,exceptions,exceptions
marry,marry,stay,stay,more,more,choice,choice
marry,marry,citizen,citizen,,more,choice,choice
marry,marry,citizen,citizen,more,more,choice,choice
union,union,stay,restrict,less,right,never,never
marry,no,stay,stay,right,right,need,need
union,union,stay,stay,more,more,need,need
marry,union,stay,deport,right,less,never,never
marry,no,citizen,stay,more,more,exceptions,choice
,no,stay,stay,right,right,need,choice
no,no,deport,citizen,right,less,need,never
